variable,question
e_pop,Population
e_gdppc,Gross Domestic Product Per Capita
year,Four--digit designation of the year for which an observation is given that ranges from the start to the end of the coding period.
v2eldonate,Are there disclosure requirements for donations to national election campaigns?
v2elpubfin,Is significant public financing available for parties' and/or candidates' campaigns for national office?
v2elembaut,Does the Election Management Body (EMB) have autonomy from government to apply election laws and administrative rules impartially in national elections?
v2elembcap,Does the Election Management Body (EMB) have sufficient staff and resources to administer a well-run national election?
v2elmulpar,Was this national election multiparty?
v2elrgstry,"In this national election, was there a reasonably accurate voter registry in place and was it used?"
v2elvotbuy,"In this national election, was there evidence of vote and/or turnout buying?"
v2elirreg,"In this national election, was there evidence of other intentional irregularities by incumbent and/or opposition parties, and/or vote fraud?"
v2elintim,"In this national election, were opposition candidates/parties/campaign workers subjected to repression, intimidation, violence, or harassment by the government, the ruling party, or their agents?"
v2elpeace,"In this national election, was the campaign period, election day, and post-election process free from other types not by the government, the ruling party, or their agents) of violence related to the conduct of the election and the campaigns (but not conducted by the government and its agents)?"
v2elboycot,"In this national election, did any registered opposition candidates or parties boycott?"
v2elfrcamp,"In this national election, did parties or candidates receive either free or publicly financed access to national broadcast media?"
v2elpdcamp,"In this national election, were parties or candidates able to run paid campaign ads on national broadcast media?"
v2elpaidig,"In this election, were interest groups and individuals able to run paid campaign ads on national broadcast media?"
v2elfrfair,"Taking all aspects of the pre-election period, election day, and the post-election process into account, would you consider this national election to be free and fair?"
v2elaccept,Did losing parties and candidates accept the result of this national election within three months?
v2elasmoff,"Following this national election, did winners assume office according to prescribed constitutional rules and norms?"
v2elrgpwr,"How would you characterize the relative power, in practice, of elected and non-elected offices at the regional level?"
v2ellocpwr,"How would you characterize the relative power, in practice, of elected and non-elected offices at the local level?"
v2elffelr,"Taking all aspects of the pre-election period, election day, and the post-election process into account, would you consider subnational elections (regional and local, as previously identified) to be free and fair on average?"
v2elffelrbin,Are subnational elections held?
v2elsnlsff,Does the freeness and fairness of subnational elections vary across different areas of the country?
v2psbars,How restrictive are the barriers to forming a party?
v2psparban,Are any parties banned?
v2psoppaut,Are opposition parties independent and autonomous of the ruling regime?
v2psorgs,How many political parties for national-level office have permanent organizations?
