varname,importance,question
e_pop,65.59239341038752,NA
e_gdppc,167.77379487865582,NA
year,110.70540460786349,Four--digit designation of the year for which an observation is given that ranges from the start to the end of the coding period.
v2eldonate,17.50501713069145,Are there disclosure requirements for donations to national election campaigns?
v2elpubfin,12.335302170381262,Is significant public financing available for parties' and/or candidates' campaigns for national office?
v2elembaut,869.3478410492949,Does the Election Management Body (EMB) have autonomy from government to apply election laws and administrative rules impartially in national elections?
v2elembcap,32.09159378238538,Does the Election Management Body (EMB) have sufficient staff and resources to administer a well-run national election?
v2ellocpwr,33.801834930748214,"How would you characterize the relative power, in practice, of elected and non-elected offices at the local level?"
v2elsnlsff,15.309667329032456,Does the freeness and fairness of subnational elections vary across different areas of the country?
v2psbars,2450.309252956283,How restrictive are the barriers to forming a party?
v2psparban,656.3976270693528,Are any parties banned?
v2psoppaut,3529.5314913658403,Are opposition parties independent and autonomous of the ruling regime?
v2psorgs,32.384170790578025,How many political parties for national-level office have permanent organizations?
v2psprbrch,15.170746725655293,How many parties have permanent local party branches?
v2psprlnks,13.285487103637939,"Among the major parties, what is the main or most common form of linkage to their constituents?"
v2psplats,42.028385833229514,How many political parties with representation in the national legislature or presidency have publicly available party platforms (manifestos) that are publicized and relatively distinct from one another?
v2pscnslnl,19.49381495663527,How centralized is legislative candidate selection within the parties?
v2pscohesv,16.02388129575915,Is it normal for members of the legislature to vote with other members of their party on important bills?
v2pscomprg,15.31204000232213,Which of the following best describes the nature of electoral support for major parties (those gaining over 10 % of the vote)?
v2psnatpar,14.190139288387932,How unified is party control of the national government?
v2pssunpar,18.834698718223382,Does a single party control important policymaking bodies across subnational units (regional and local governments)?
v2exremhsp,18.450163673808266,"If the legislature, or either chamber of the legislature, took actions to remove the head of state from office, would it be likely to succeed even without having to level accusations of unlawful activity and without the involvement of any other agency?"
v2exdfdshs,24.548243412422902,"If the head of state took actions to dissolve the legislature, would he/she be likely to succeed?"
v2exdfcbhs,12.206557039709693,"In practice, does the head of state have the power to appoint --- or is the approval of the head of state necessary for the appointment of --- cabinet ministers?"
v2exdfvths,11.911375462889254,"If the head of state took actions to veto a piece of legislation, would he/she be likely to succeed?"
v2exdfdmhs,10.678589881411234,"If the head of state took actions to dismiss cabinet ministers, would he/she be likely to succeed?"
v2exdfpphs,15.472681623669104,"Does the head of state have the capacity, in practice, to propose legislation?"
v2exrescon,130.8591088068248,"Do members of the executive (the head of state, the head of government, and cabinet ministers) respect the constitution?"
v2exbribe,20.44908983226557,"How routinely do members of the executive (the head of state, the head of government, and cabinet ministers), or their agents, grant favors in exchange for bribes, kickbacks, or other material inducements?"
v2exembez,201.62551436013973,"How often do members of the executive (the head of state, the head of government, and cabinet ministers), or their agents, steal, embezzle, or misappropriate public funds or other state resources for personal or family use?"
v2excrptps,68.26176215678593,"How routinely do public sector employees grant favors in exchange for bribes, kickbacks, or other material inducements?"
v2exthftps,152.24824217300252,"How often do public sector employees steal, embezzle, or misappropriate public funds or other state resources for personal or family use?"
v2regsupgroupssize,17.874365185337144,"In total, how large is the percentage share of the domestic adult (18+) population that belongs to the political regime’s supporting groups?"
v2regoppgroupssize,23.78048452209222,"In total, how large is the share of the domestic adult (18+) population that are noteworthy opposition actors to the current political regime?"
v2lgqstexp,17.478227805880685,"In practice, does the legislature routinely question executive branch officials?"
